athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
5107358,0.72,0.74,1.46,Madison Durr,350,UNC Wilmington Seahawks,1129.9071732494872
5176423,0.86,0.6,1.46,Aidan Burke,28,UC San Diego Tritons,1251.3005466659079
5108091,0.85,0.61,1.46,Magnus Entenmann,2309,Kent State Golden Flashes,676.7112964878419
5174599,0.61,0.84,1.45,Trey Autry,45,George Washington Revolutionaries,1592.6884532832287
4873208,1.33,0.12,1.45,AJ Swinton,52,Florida State Seminoles,707.227264838605
5102799,1.24,0.2,1.45,Mayar Wol,189,Bowling Green Falcons,1160.710577351864
5106660,1.3,0.14,1.45,Simeon Cottle,338,Kennesaw State Owls,901.498996853548
5107230,0.55,0.9,1.45,Nate Brafford,2127,Charleston Southern Buccaneers,1140.8628254568687
5175809,1.45,-0.0,1.44,Tariq Francis,164,Rutgers Scarlet Knights,1513.5729401342708
5176755,0.73,0.72,1.44,Jordan Marsh,30,USC Trojans,948.0115937077777
5313550,0.5,0.95,1.44,Chol Machot,232,Charleston Cougars,1066.9234788289125
5176046,0.84,0.6,1.44,Jalen Cox,2142,Colgate Raiders,1771.145397330158
5243378,0.43,1.01,1.44,Deshaun Jackson Jr.,2385,Mercyhurst Lakers,1248.6540054065526
4703531,-0.42,1.87,1.44,Sam Towns,189,Bowling Green Falcons,1800.1833342782782
5144105,1.11,0.33,1.44,Acaden Lewis,222,Villanova Wildcats,1602.527815722732
5105657,1.04,0.4,1.44,AJ Rohosy,24,Stanford Cardinal,1048.3393527910603
4895738,0.33,1.11,1.44,Rahmir Barno,526,Florida Gulf Coast Eagles,1821.4713627361932
5313700,0.66,0.78,1.44,Cam Hiatt,159,Dartmouth Big Green,719.4631590369
4897365,1.05,0.39,1.44,Honor Huff,277,West Virginia Mountaineers,1810.9989131023096
5241653,0.65,0.78,1.44,Ring Nyeri,2458,Northern Colorado Bears,1429.5102798307996
5242761,1.25,0.19,1.44,Julen Iturbe,44,American University Eagles,1388.2049506465642
5314372,0.01,1.42,1.43,Damien King,2630,UT Martin Skyhawks,655.7592001500363
4683947,1.09,0.34,1.43,TJ Wainwright,279,Pacific Tigers,1666.4414639091287
4898278,1.0,0.43,1.43,Nate Johnson,2306,Kansas State Wildcats,1893.087790008439
5177211,1.67,-0.25,1.43,Alvaro Folgueiras,2294,Iowa Hawkeyes,1090.2354479591572
5107205,0.03,1.39,1.43,Mor Seck,119,Towson Tigers,756.9754296515206
4937074,1.33,0.1,1.42,Darrion Williams,152,NC State Wolfpack,1587.591455272864
5313852,0.92,0.5,1.42,Mason Klabo,2287,Illinois State Redbirds,783.2606018733908
5175069,1.33,0.09,1.42,Chris Johnson,2116,UCF Knights,838.393320897813
5242992,1.2,0.22,1.42,Jaylon Johnson,2515,Radford Highlanders,1628.2139250862767
5105844,1.91,-0.49,1.42,Kanye Clary,197,Oklahoma State Cowboys,1600.0534763391988
4848630,0.59,0.82,1.41,Dennis Parker Jr.,2515,Radford Highlanders,1693.8194774379735
5107530,1.23,0.19,1.41,Mateo Esmeraldo,288,Lipscomb Bisons,1698.843564499507
5313685,0.81,0.6,1.41,Hampton Sanders,171,Columbia Lions,728.6014486694229
5060688,1.07,0.34,1.41,Jamie Kaiser Jr.,2086,Butler Bulldogs,1497.1633002347787
5175921,0.54,0.87,1.41,Nikola Abusara,159,Dartmouth Big Green,691.2111865667644
5242116,-0.25,1.66,1.41,Ashton Williamson,2229,Florida International Panthers,1073.6209072160927
4684167,0.9,0.51,1.41,Joshua O'Garro,2463,Cal State Northridge Matadors,2054.887406515486
5174858,1.66,-0.26,1.41,Franck Emmou,326,Texas State Bobcats,1127.8956531974327
4884255,0.17,1.24,1.41,Gavin Griffiths,218,Temple Owls,1440.8711796155426
5313164,0.43,0.97,1.41,Armelo Boone,98,Western Kentucky Hilltoppers,1262.193144913878
