athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
5243383,18,0.5,-0.18055555555555558,0.736,0.24295632895188748,0.8080392283592539
5060708,168,0.40476190476190477,-0.1806298276886512,0.96,2.256474566460198,0.024040926380357347
5106717,106,0.3584905660377358,-0.18106834249803613,0.976,1.7509903767875408,0.07994756765566395
5241537,112,0.32142857142857145,-0.18157894736842106,0.992,1.7741931106928166,0.07603121338398748
5313944,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5239648,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5311843,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5116155,27,0.14814814814814814,-0.18181818181818182,1.0,0.5550085386585849,0.5788888200540669
5317273,13,0.15384615384615385,-0.18181818181818182,1.0,0.14069371488316204,0.8881119105028887
5314801,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5121357,27,0.14814814814814814,-0.18181818181818182,1.0,0.5550085386585849,0.5788888200540669
5176285,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5328456,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5263816,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5314352,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5314353,14,0.14285714285714285,-0.18181818181818182,1.0,0.08925069341192676,0.9288826785729102
5144135,27,0.14814814814814814,-0.18181818181818182,1.0,0.5550085386585849,0.5788888200540669
5179085,55,0.2727272727272727,-0.18214285714285716,0.847,1.0970882462625045,0.2726028177681291
5142618,120,0.39166666666666666,-0.18314472900536033,0.98,1.8892918024659264,0.05885273937245697
5239578,69,0.2898550724637681,-0.18333333333333332,0.948,1.3578128626882642,0.17452307240367626
4611534,75,0.30666666666666664,-0.18356643356643354,0.798,1.3994939626510687,0.16166490753108786
5106684,76,0.4473684210526316,-0.1836441893830703,0.834,1.4998538912779698,0.13365225398601635
5252606,52,0.3076923076923077,-0.18392857142857144,0.669,1.268798047306381,0.20451310176820547
5176530,87,0.28735632183908044,-0.1842622950819672,0.888,1.6810420518265479,0.09275474679630985
5107144,73,0.3698630136986301,-0.18518518518518517,0.682,1.5117442887230046,0.13059892703166434
5313280,33,0.15151515151515152,-0.18518518518518517,1.0,0.720596758028192,0.47115764908171576
4873093,38,0.34210526315789475,-0.1858974358974359,0.839,0.8776267761240737,0.3801462934606048
5176649,28,0.5357142857142857,-0.18681318681318687,0.949,0.608482328199765,0.5428676230498704
5142625,79,0.3670886075949367,-0.18719211822660095,0.985,1.5346281067505976,0.12487520454567176
5176444,20,0.15,-0.1875,1.0,0.3812938279878099,0.7029852329241608
5177742,20,0.15,-0.1875,1.0,0.3812938279878099,0.7029852329241608
5241759,44,0.29545454545454547,-0.18817204301075272,0.713,0.8032679779034164,0.4218198622387631
4709141,116,0.35344827586206895,-0.18833333333333332,0.981,1.834325604983447,0.06660567553021907
5176252,69,0.4057971014492754,-0.18928571428571428,0.861,1.440474257916387,0.14973326786338273
5176109,88,0.32954545454545453,-0.18965517241379312,0.956,1.7286662744280763,0.08386884068580527
5241424,46,0.2826086956521739,-0.18990384615384615,0.804,1.0528242848729727,0.29242153262558745
5314849,62,0.3225806451612903,-0.1902439024390244,0.859,1.4401064701877024,0.14983727883964287
